pressure,temperature,altitude,ax,ay,az,pitch,roll,yaw
92818.23,19.77,733.6141,-0.043086,0.124058,1.018682,-0.020397,6.064492,247.2494
92813.27,19.77,734.058,-0.146602,0.019565,0.890264,4.578097,8.841304,247.6585
92802.59,19.75,735.0145,-0.41125,0.372104,0.836064,17.20314,20.86213,248.2044
92802.59,19.75,735.0145,-0.471309,0.562046,0.859502,24.33236,27.98873,250.5346
92802.23,19.74,735.0463,-0.521602,0.52689,0.690557,27.76912,31.70758,253.1658
92796.03,19.75,735.5985,-0.652461,0.573276,0.679326,30.92775,36.19691,256.249
92795,19.78,735.691,-0.063105,0.146519,0.818975,14.7039,21.96401,254.392
92795,19.78,735.691,-0.067988,0.048374,0.886357,0.725082,5.106516,257.2026
92813.25,19.8,734.0607,0.140508,-0.250942,0.840459,-10.95653,-12.25458,259.6418
96421.61,19.91,416.4805,0.358281,-0.386196,0.804814,-18.70852,-23.6317,261.5133
98753.47,19.97,416.4805,0.433477,-0.409146,0.744268,-14.03648,-19.02206,258.1221
92897.28,20.03,726.5513,-0.097773,0.137729,1.071416,3.170719,1.109357,254.5071
92828.45,20.06,732.7026,0.057988,0.020542,0.99915,4.854682,-0.907708,257.4247
92825.55,20.07,732.9615,-0.568965,-0.186001,0.691045,32.06627,-12.39061,259.4272
92828.14,20.1,732.729,-1.111445,-0.24313,0.471318,41.01971,-13.89283,264.3945
92826.5,20.13,732.877,-0.936152,-0.341763,0.451299,41.95877,-14.53423,265.0363
92822.64,20.14,733.2205,-0.929316,-0.246548,0.576787,29.17896,-5.820024,271.939
92819.77,20.16,733.4794,-0.119746,0.142124,0.92249,4.103863,3.4996,275.1376
92805.81,20.14,734.7266,0.363164,0.231968,0.917607,-13.42071,9.842749,271.4647
92810.16,20.11,734.3381,0.52625,0.298374,0.923467,-23.00955,15.20188,269.0449
92820.17,20.09,733.4424,0.564336,0.316929,0.971318,-18.98339,13.35427,270.333
92813.59,20.09,734.029,-0.109004,0.029819,0.923955,-9.681936,6.955192,274.1245
92806.77,20.1,734.642,-0.183711,0.062534,0.972783,-3.789959,7.995178,277.2875
92806.77,20.1,734.642,-0.251094,0.402866,0.815068,3.170918,26.40938,279.6057
92792.73,20.11,735.8944,-0.263789,0.700229,0.773564,6.054711,36.37214,282.1041
92792.55,20.13,735.9129,-0.350215,0.727085,0.681768,10.11119,39.31627,284.4769
92795.45,20.12,735.6513,-0.254512,0.565464,0.816533,2.495569,23.56878,280.6887
92795.19,20.13,735.6751,-0.135859,0.204624,0.959111,-5.694357,1.063808,282.2695
92880.25,20.11,728.0733,0.195684,-0.265591,0.903447,-12.71869,-18.95072,287.8634
95841.19,20.16,466.9083,0.109746,-0.532192,0.784307,-13.91947,-28.5126,290.4442
95616.7,20.21,486.477,0.19666,-0.44479,0.900518,-12.2052,-28.14215,290.2046
95891.25,20.25,462.5486,0.195195,-0.646939,0.743291,-10.74253,-26.36789,291.6859
92854.05,20.31,730.4144,-0.026484,-0.031704,0.910283,0.116067,-5.814382,290.18
92805.36,20.32,734.7662,-0.196895,0.235386,1.006475,5.838767,1.338122,292.5684
92802.69,20.31,735.004,-0.073848,0.188511,0.994268,5.100347,2.578757,295.9467
92806.38,20.28,734.6763,-0.155879,0.234897,1.005498,8.648495,1.945829,313.4932
92808.14,20.26,734.5178,-0.288203,0.320347,0.932256,10.43704,6.127707,354.8425
92818.08,20.22,733.63,0.058965,0.182163,0.883916,2.600786,8.564261,20.7355
92800.02,20.19,735.2444,0.01209,0.187534,0.965459,2.711882,8.596232,24.73779
92799.75,20.16,735.2682,-0.175898,0.219761,1.012334,5.744046,6.708879,10.76512
92817.39,20.11,733.6907,-0.030391,0.138706,1.024053,1.819879,6.076475,344.3398
92803,20.08,734.9775,-0.342891,-0.001919,1.030889,5.3238,6.61377,311.9546
92808.14,20.07,734.5178,-0.200801,-0.028774,0.901006,4.23034,6.708364,284.4774
92855.14,20.1,730.3166,0.028691,0.187046,0.992803,0.814457,9.800084,263.974
92965.41,20.17,720.4688,-0.194941,0.116733,1.042607,4.360182,10.52207,245.7648
93017.09,20.2,715.8554,0.141484,0.295444,1.012822,3.967766,10.59226,237.6566
92855.47,20.25,730.2875,-0.154902,0.001011,0.999639,4.230355,8.499814,246.1296
92925.66,20.29,724.0174,-0.136836,0.025425,1.018193,1.641888,8.017333,270.6229
92854.11,20.32,730.4091,0.018926,0.209507,1.040166,3.386003,6.712918,295.3633
92809.41,20.33,734.4042,-0.075313,0.188511,0.987432,4.381251,6.568974,316.0322
92805.54,20.3,734.7503,-0.035273,0.075229,1.013311,1.090278,3.367318,331.2931
92811.13,20.26,734.2509,-0.081172,0.15189,0.960576,6.348849,9.098163,332.6807
92805.65,20.23,734.7397,-0.395625,0.196323,0.914189,17.94721,9.260439,329.9651
92807.08,20.21,734.6129,-0.447383,0.155796,0.768193,29.97022,8.473623,331.0502
92813.39,20.18,734.0475,-0.625605,0.153843,0.671514,36.43285,10.05595,333.8073
92818.37,20.18,733.6036,-0.782832,0.257358,0.544072,44.28303,14.79778,347.4392
92808.94,20.2,734.4465,-0.648555,0.112339,0.531377,36.48925,13.93502,350.9203
92808.94,20.2,734.4465,-0.708613,0.35355,0.472295,36.81336,28.49615,356.944
92814.95,20.21,733.9074,-0.816523,0.570347,0.526982,30.71688,43.08596,2.280258
92816.19,20.2,733.7991,-0.440059,0.74564,0.604619,23.8817,48.11353,0.441422
92819.74,20.19,733.4794,-0.433223,0.81644,0.659795,14.99821,47.78456,354.1848
92819.74,20.19,733.4794,-0.151973,0.680698,0.778447,-0.939214,39.40946,347.7023
92811.59,20.16,734.2087,0.123418,0.608433,0.87415,-11.74394,33.7179,343.3431
92810.81,20.15,734.2773,0.294316,0.396519,0.810674,-19.66498,23.0303,341.0258
92816.17,20.16,733.7991,0.435918,-0.007778,0.78626,-20.59975,7.494777,342.388
92820.39,20.15,733.4213,0.485234,-0.278774,0.846318,-18.88858,-9.341071,345.2739
92922.86,20.16,724.2684,0.257207,-0.529751,0.742803,-13.07435,-21.14185,342.2422
95732.61,20.17,476.3676,0.123906,-0.585415,0.766729,1.006238,-26.49695,331.5486
92942.46,20.21,722.5166,-0.218379,-0.513149,0.787236,18.01343,-27.97374,323.7852
92909.93,20.26,725.4231,-0.731074,-0.175259,0.716436,40.33081,-23.65812,322.7621
92787.06,20.29,736.4017,-0.889766,-0.043911,0.562627,56.37396,-11.72676,329.9037
92809.06,20.29,734.4359,-0.795039,0.352085,0.449346,55.65129,20.90268,356.1495
92809.06,20.29,734.4359,-0.801387,0.433628,0.366338,49.36492,44.82099,15.92363
