pressure,temperature,altitude,ax,ay,az,pitch,roll,yaw
90606.56,19.11,933.2353,0.543335,-0.603247,1.470044,-40.81346,46.01569,137.5433
90636.36,19.1,930.5217,0.527222,-0.62229,1.202466,-23.42932,63.52623,118.8097
90680.71,19.1,926.479,0.4823,-0.231177,1.503735,-1.664249,75.15772,108.5574
90722.34,19.09,922.69,0.320679,-0.398657,1.142407,17.9096,79.42258,101.1114
90797.61,19.09,915.8386,0.57019,-0.425513,1.451001,42.94797,80.0799,86.82919
90797.61,19.09,915.8386,0.628784,-0.226782,1.293286,69.2092,70.25635,62.86851
90842.64,19.1,911.743,0.557495,-0.143286,1.512524,76.56567,-53.19244,291.1318
90889.24,19.09,907.5048,0.236694,-0.430884,1.47395,52.24419,-69.88822,270.0985
90967.41,19.09,900.3998,0.571655,-0.609106,1.261548,22.02697,-65.67303,264.3012
90967.41,19.09,900.3998,0.45105,-0.390356,1.160474,-4.221924,-55.57925,255.093
91008.78,19.08,896.6425,0.332397,-0.280493,1.284985,-23.65076,-42.50147,241.8719
91098.73,19.07,888.4752,0.311401,-0.32981,1.740552,-40.67493,-20.3164,215.6607
91168.68,19.07,882.131,0.436401,-0.558325,1.246411,-40.74719,35.38982,151.4602
91215.63,19.07,877.8744,0.369995,-0.382544,1.180981,-28.23736,56.17173,130.1362
91266.2,19.06,873.29,0.548218,-0.116431,1.470044,-8.628487,67.60822,112.5024
91303.29,19.05,869.9291,0.665405,-0.566626,1.367505,13.80757,69.39307,99.89758
91323.02,19.06,868.1429,0.497437,-0.477271,1.286938,36.60559,70.73226,89.69044
91381.15,19.06,862.8795,0.197144,-0.53977,1.256665,55.33085,72.88823,79.02663
91429.09,19.05,858.5408,0.292847,-0.248755,1.106274,73.43429,31.87149,26.58916
91482.02,19.05,853.7531,0.852905,-0.699927,1.862622,55.31815,-34.0801,314.0031
91498.77,19.06,852.239,0.635132,-0.559302,1.796216,36.3523,-42.51752,287.4977
91551.27,19.05,847.4908,0.399292,-0.255591,1.6302,21.52152,-40.78571,267.5923
91595.25,19.04,843.5169,0.125854,-0.042212,1.807446,2.356072,-36.29067,251.8709
91643.88,19.04,839.1254,0.531128,-0.617895,1.266919,-22.23054,-27.67364,232.2007
91657.63,19.03,837.8835,0.831909,-0.516821,1.279614,-34.5549,-7.47511,206.0175
91700.39,19.04,834.0232,0.517944,-0.527075,1.32063,-30.98125,17.97835,176.8584
91735.74,19.02,830.8313,0.434937,-0.203833,0.975903,-21.13601,33.05645,155.361
91776.45,19.02,827.1586,0.131714,-0.451392,1.344556,-11.41529,39.07716,135.6001
91832.59,19.01,822.0959,0.426147,-0.607153,1.047192,-2.126887,44.67376,114.1818
91932.48,19.01,813.0938,0.78894,-0.442603,1.44563,23.65807,61.73053,70.7769
91966.22,19,810.0551,0.458374,-0.425024,1.460278,40.51121,63.66423,60.40163
92049.32,18.99,802.5748,0.373413,-0.321021,1.106274,59.27821,51.6823,36.68288
92085.83,19,799.2905,0.501343,-0.294165,1.381665,65.79878,8.743036,342.6614
92117.38,19,796.4527,0.605835,-0.496313,1.230786,49.32678,-32.43183,286.5367
92159.43,19,792.6716,0.725464,-0.353247,1.300122,23.58647,-42.46464,257.3526
92195.22,18.99,789.4533,0.44812,-0.618872,1.297681,3.580879,-42.65232,235.9459
92231.37,18.99,786.2059,0.338745,-0.573462,1.029126,-15.40043,-30.96568,219.6315
92275.31,18.98,782.2584,0.49939,-0.442603,1.03938,-32.95715,-8.780851,195.9176
92307.52,18.98,779.3651,0.767456,0.132593,1.436352,-31.80624,23.42061,157.933
92346.3,18.98,775.8853,0.380737,-0.316138,1.104321,-20.14831,32.45233,138.3057
92389.08,18.99,772.046,0.080444,-0.636938,1.354321,-9.997762,37.37036,118.3056
92421.22,18.98,769.1633,0.335815,-0.63645,0.965161,-2.952401,43.90136,94.75925
92465.59,18.98,765.184,0.642944,-0.542212,1.229321,5.19449,52.46708,72.83816
92511.27,18.98,761.0885,0.706909,-0.467993,1.20686,20.69874,57.54467,58.07689
92532.63,18.98,759.1755,0.362183,-0.515356,1.378735,39.09403,54.26653,41.82663
92591.99,18.97,753.8566,0.514526,-0.677954,1.169751,54.63461,35.26846,9.76445
92618.28,18.97,751.5023,0.44812,-0.515845,1.288892,60.35917,12.38247,329.2501
92658.02,18.97,747.9459,0.38562,-0.091528,1.458325,57.38322,-12.01693,288.522
