***
92737.554688,19.110001,740.830200,-0.006841,0.000762,0.998638,0.552424,0.067039,180.01295502
92737.554688,19.110001,740.830200,0.006831,-0.001680,0.999126,-0.004724,-0.030125,180.01292402
92737.554688,19.110001,740.830200,0.012690,0.002715,1.001567,-0.543071,0.103788,180.03710902
92728.054688,19.110001,741.678345,-0.004399,-0.003145,1.001079,0.006995,-0.082226,180.03849802
92728.054688,19.110001,741.678345,-0.004399,-0.003145,1.001079,0.549560,-0.288072,180.03790302
92728.054688,19.110001,741.678345,-0.004399,-0.002656,0.998638,0.023521,-0.043577,180.02121002
92728.054688,19.110001,741.678345,0.001948,0.000273,1.002544,-0.518060,0.196538,179.99008202
92735.585938,19.110001,741.004578,0.004390,0.004180,1.001567,0.036715,0.308503,180.02072102
92735.585938,19.110001,741.004578,0.012202,0.011016,1.001079,-0.492894,0.535833,180.02021802
92734.843750,19.100000,741.070618,0.010249,-0.004609,1.001567,-0.542756,-0.038753,180.01374802
92734.843750,19.100000,741.070618,-0.005864,-0.007051,1.001079,-0.000014,-0.270337,180.04567002
92734.843750,19.100000,741.070618,0.000972,-0.004609,0.997661,-0.556385,-0.221716,180.08546402
92734.843750,19.100000,741.070618,0.000483,0.002715,1.002056,-0.091596,0.108380,180.07789602
92735.500000,19.100000,741.012512,-0.006841,-0.002656,1.000591,0.395766,-0.166016,180.06535302
92735.500000,19.100000,741.012512,-0.006841,-0.002656,1.000591,0.218473,0.381468,180.05658002
92735.500000,19.100000,741.012512,0.004390,-0.000703,0.998149,-0.215955,-0.009668,180.05697602
92735.500000,19.100000,741.012512,0.009761,0.002227,1.004009,-0.740258,0.213545,180.01591502
92736.601562,19.110001,740.914734,0.011714,0.004668,1.001079,-0.278344,0.562827,180.01936302
92736.601562,19.110001,740.914734,0.011714,0.004668,1.001079,-0.728430,0.218294,180.02900702
92736.601562,19.110001,740.914734,0.007808,-0.002168,1.001079,-0.347907,-0.229958,180.04888902
92736.601562,19.110001,740.914734,0.001948,-0.005098,1.000103,0.210527,-0.387224,180.03416402
92732.203125,19.100000,741.308411,-0.010747,-0.008027,1.000103,0.769604,-0.487913,180.02459702
92732.203125,19.100000,741.308411,-0.001958,-0.004121,0.998149,0.220313,-0.276912,179.99331702
92732.203125,19.100000,741.308411,-0.000981,-0.002168,0.998638,-0.213184,0.116854,179.99687202
92732.203125,19.100000,741.308411,0.006343,0.005645,1.004497,-0.544861,0.584505,179.97897302
