pressure,temperature,altitude,ax,ay,az,pitch,roll,yaw
92729.679688,19.290001,741.533020,0.001460,0.001738,1.000103,0.351685,0.264806,177.61433402
92727.343750,19.280001,741.741760,-0.000005,-0.003145,0.997173,-0.014043,-0.190688,177.59204102
92727.343750,19.280001,741.741760,-0.000005,-0.003145,0.997173,0.444690,0.131853,177.57234202
92727.343750,19.280001,741.741760,0.004390,-0.000215,1.001079,-0.121150,0.016171,177.57548502
92727.343750,19.280001,741.741760,0.003901,0.001250,0.999614,-0.617526,0.274339,177.55590802
92731.023438,19.290001,741.414124,0.003901,0.001250,0.999614,-0.100611,-0.002434,177.53964202
92731.023438,19.290001,741.414124,-0.000493,-0.002656,0.997173,0.276995,-0.442728,177.54241902
92731.023438,19.290001,741.414124,0.003901,-0.005586,1.002056,-0.277976,-0.320264,177.54290802
92731.023438,19.290001,741.414124,-0.002935,-0.008516,1.003032,0.269274,-0.516877,177.53416402
92728.695312,19.290001,741.622864,-0.002935,-0.008516,1.003032,-0.269178,-0.348873,177.52531402
92728.695312,19.290001,741.622864,-0.005864,-0.001191,1.000103,0.248860,-0.101212,177.52269002
92728.695312,19.290001,741.622864,0.073237,-0.074922,0.680767,-0.176904,-0.468576,177.51362602
92728.695312,19.290001,741.622864,0.073237,-0.074922,0.680767,-0.601153,-0.837440,177.50761402
92709.234375,19.280001,743.361511,-0.850103,-0.893281,13.115826,0.178362,-0.697705,174.76167303
92709.234375,19.280001,743.361511,-0.850103,-0.893281,13.115826,0.919755,-0.647506,172.01121503
92709.234375,19.280001,743.361511,0.282222,0.008574,11.815044,0.560752,-1.112899,171.35426303
92709.234375,19.280001,743.361511,-0.426274,-0.005098,11.735943,1.201095,-0.881034,174.63951103
92653.390625,19.290001,748.360657,-0.411138,0.063262,11.503521,1.469627,-0.445180,177.05387903
92653.390625,19.290001,748.360657,-0.411138,0.063262,11.503521,1.735505,-0.009590,179.46983303
92653.390625,19.290001,748.360657,-0.424810,-0.015352,10.981548,1.639420,-0.207114,180.12736503
